GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Population 15 years and over
HC01_MOE_VC01,Total; Margin of Error; Population 15 years and over
HC02_EST_VC01,Now married (except separated); Estimate; Population 15 years and over
HC02_MOE_VC01,Now married (except separated); Margin of Error; Population 15 years and over
HC03_EST_VC01,Widowed; Estimate; Population 15 years and over
HC03_MOE_VC01,Widowed; Margin of Error; Population 15 years and over
HC04_EST_VC01,Divorced; Estimate; Population 15 years and over
HC04_MOE_VC01,Divorced; Margin of Error; Population 15 years and over
HC05_EST_VC01,Separated; Estimate; Population 15 years and over
HC05_MOE_VC01,Separated; Margin of Error; Population 15 years and over
HC06_EST_VC01,Never married; Estimate; Population 15 years and over
HC06_MOE_VC01,Never married; Margin of Error; Population 15 years and over
HC01_EST_VC03,Total; Estimate; AGE AND SEX - Males 15 years and over
HC01_MOE_VC03,Total; Margin of Error; AGE AND SEX - Males 15 years and over
HC02_EST_VC03,Now married (except separated); Estimate; AGE AND SEX - Males 15 years and over
HC02_MOE_VC03,Now married (except separated); Margin of Error; AGE AND SEX - Males 15 years and over
HC03_EST_VC03,Widowed; Estimate; AGE AND SEX - Males 15 years and over
HC03_MOE_VC03,Widowed; Margin of Error; AGE AND SEX - Males 15 years and over
HC04_EST_VC03,Divorced; Estimate; AGE AND SEX - Males 15 years and over
HC04_MOE_VC03,Divorced; Margin of Error; AGE AND SEX - Males 15 years and over
HC05_EST_VC03,Separated; Estimate; AGE AND SEX - Males 15 years and over
HC05_MOE_VC03,Separated; Margin of Error; AGE AND SEX - Males 15 years and over
HC06_EST_VC03,Never married; Estimate; AGE AND SEX - Males 15 years and over
HC06_MOE_VC03,Never married; Margin of Error; AGE AND SEX - Males 15 years and over
HC01_EST_VC04,Total; Estimate; AGE AND SEX - Males 15 years and over - 15 to 19 years
HC01_MOE_VC04,Total; Margin of Error; AGE AND SEX - Males 15 years and over - 15 to 19 years
HC02_EST_VC04,Now married (except separated); Estimate; AGE AND SEX - Males 15 years and over - 15 to 19 years
HC02_MOE_VC04,Now married (except separated); Margin of Error; AGE AND SEX - Males 15 years and over - 15 to 19 years
HC03_EST_VC04,Widowed; Estimate; AGE AND SEX - Males 15 years and over - 15 to 19 years
HC03_MOE_VC04,Widowed; Margin of Error; AGE AND SEX - Males 15 years and over - 15 to 19 years
HC04_EST_VC04,Divorced; Estimate; AGE AND SEX - Males 15 years and over - 15 to 19 years
HC04_MOE_VC04,Divorced; Margin of Error; AGE AND SEX - Males 15 years and over - 15 to 19 years
HC05_EST_VC04,Separated; Estimate; AGE AND SEX - Males 15 years and over - 15 to 19 years
HC05_MOE_VC04,Separated; Margin of Error; AGE AND SEX - Males 15 years and over - 15 to 19 years
HC06_EST_VC04,Never married; Estimate; AGE AND SEX - Males 15 years and over - 15 to 19 years
HC06_MOE_VC04,Never married; Margin of Error; AGE AND SEX - Males 15 years and over - 15 to 19 years
HC01_EST_VC05,Total; Estimate; AGE AND SEX - Males 15 years and over - 20 to 34 years
HC01_MOE_VC05,Total; Margin of Error; AGE AND SEX - Males 15 years and over - 20 to 34 years
HC02_EST_VC05,Now married (except separated); Estimate; AGE AND SEX - Males 15 years and over - 20 to 34 years
HC02_MOE_VC05,Now married (except separated); Margin of Error; AGE AND SEX - Males 15 years and over - 20 to 34 years
HC03_EST_VC05,Widowed; Estimate; AGE AND SEX - Males 15 years and over - 20 to 34 years
HC03_MOE_VC05,Widowed; Margin of Error; AGE AND SEX - Males 15 years and over - 20 to 34 years
HC04_EST_VC05,Divorced; Estimate; AGE AND SEX - Males 15 years and over - 20 to 34 years
HC04_MOE_VC05,Divorced; Margin of Error; AGE AND SEX - Males 15 years and over - 20 to 34 years
HC05_EST_VC05,Separated; Estimate; AGE AND SEX - Males 15 years and over - 20 to 34 years
HC05_MOE_VC05,Separated; Margin of Error; AGE AND SEX - Males 15 years and over - 20 to 34 years
HC06_EST_VC05,Never married; Estimate; AGE AND SEX - Males 15 years and over - 20 to 34 years
HC06_MOE_VC05,Never married; Margin of Error; AGE AND SEX - Males 15 years and over - 20 to 34 years
HC01_EST_VC06,Total; Estimate; AGE AND SEX - Males 15 years and over - 35 to 44 years
HC01_MOE_VC06,Total; Margin of Error; AGE AND SEX - Males 15 years and over - 35 to 44 years
HC02_EST_VC06,Now married (except separated); Estimate; AGE AND SEX - Males 15 years and over - 35 to 44 years
HC02_MOE_VC06,Now married (except separated); Margin of Error; AGE AND SEX - Males 15 years and over - 35 to 44 years
HC03_EST_VC06,Widowed; Estimate; AGE AND SEX - Males 15 years and over - 35 to 44 years
HC03_MOE_VC06,Widowed; Margin of Error; AGE AND SEX - Males 15 years and over - 35 to 44 years
HC04_EST_VC06,Divorced; Estimate; AGE AND SEX - Males 15 years and over - 35 to 44 years
HC04_MOE_VC06,Divorced; Margin of Error; AGE AND SEX - Males 15 years and over - 35 to 44 years
HC05_EST_VC06,Separated; Estimate; AGE AND SEX - Males 15 years and over - 35 to 44 years
HC05_MOE_VC06,Separated; Margin of Error; AGE AND SEX - Males 15 years and over - 35 to 44 years
HC06_EST_VC06,Never married; Estimate; AGE AND SEX - Males 15 years and over - 35 to 44 years
