GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0400000US13,13,Georgia,3540690,10836,309636,4201,199294,3692,200780,3394,200833,3530,191311,3126,191394,3756,175601,2960,171374,3329,149141,2579,285491,3991,350185,4381,407228,4891,257441,4154,152716,3074,151979,3091,146286,3051
8600000US30002,30002,ZCTA5 30002,2583,203,230,75,126,73,195,96,143,83,149,72,120,60,187,96,102,48,79,44,168,61,152,59,258,89,147,61,157,54,212,67,158,56
8600000US30004,30004,ZCTA5 30004,20567,618,334,140,227,120,454,216,718,256,272,188,434,179,398,199,423,163,717,226,1505,368,1990,371,3373,452,2166,458,1451,320,2291,364,3814,433
8600000US30005,30005,ZCTA5 30005,12129,442,318,153,174,99,169,128,483,271,183,87,243,125,299,146,337,162,179,93,721,231,1031,253,1657,354,1143,273,1245,346,1714,284,2233,345
8600000US30008,30008,ZCTA5 30008,10073,444,818,219,538,179,756,212,695,212,619,197,550,182,637,210,508,170,287,108,718,235,1073,225,1234,251,628,194,365,141,323,130,324,144
8600000US30009,30009,ZCTA5 30009,5830,375,304,147,364,166,169,110,164,103,235,177,185,115,264,155,203,91,196,113,384,143,427,194,769,191,567,194,587,168,494,151,518,175
8600000US30011,30011,ZCTA5 30011,4750,334,224,102,224,89,162,95,56,40,176,98,403,124,170,100,324,139,177,58,525,138,598,218,781,166,456,193,231,104,127,73,116,81
8600000US30012,30012,ZCTA5 30012,8552,350,722,209,516,153,670,168,701,210,560,182,441,132,426,140,454,148,591,192,861,211,802,205,805,199,431,125,111,57,280,122,181,104
8600000US30013,30013,ZCTA5 30013,8809,371,568,197,410,145,617,221,323,129,484,151,569,243,370,133,633,227,313,123,752,200,891,193,1181,240,781,216,301,128,409,153,207,115
8600000US30014,30014,ZCTA5 30014,12991,479,993,272,1036,256,1022,252,709,211,602,196,690,207,832,230,747,216,657,245,1068,278,1049,219,1391,226,983,259,449,141,459,167,304,124
8600000US30016,30016,ZCTA5 30016,17015,498,1205,294,594,255,1089,281,581,210,935,299,1127,279,795,266,990,256,1073,299,1563,370,2193,367,2325,424,1154,242,878,273,407,205,106,79
8600000US30017,30017,ZCTA5 30017,7227,521,337,219,24,26,152,109,134,87,179,106,569,275,264,113,381,176,150,116,315,146,828,236,1080,260,1049,238,784,228,584,188,397,145
8600000US30019,30019,ZCTA5 30019,13016,675,615,327,179,104,137,78,474,208,376,178,351,205,361,189,732,304,467,221,761,223,1407,362,1945,426,2123,604,875,268,1548,439,665,241
8600000US30021,30021,ZCTA5 30021,7549,420,1214,261,386,127,983,236,609,195,497,176,643,194,435,142,422,140,379,130,475,151,545,149,502,148,219,84,85,54,103,59,52,50
8600000US30022,30022,ZCTA5 30022,23140,554,527,166,508,219,485,204,550,212,771,219,642,205,657,194,577,187,550,191,1503,307,2224,407,2911,484,2588,504,2184,374,2755,336,3708,411
8600000US30024,30024,ZCTA5 30024,21245,598,427,148,380,164,401,168,285,112,330,155,653,290,354,147,650,214,717,262,1321,301,2231,377,2764,306,3064,436,1904,292,2652,365,3112,371
8600000US30025,30025,ZCTA5 30025,3294,228,194,111,152,99,87,52,196,102,164,95,200,117,122,73,162,97,321,126,203,109,340,123,502,147,206,94,175,82,115,62,155,95
8600000US30028,30028,ZCTA5 30028,6767,389,120,66,260,107,157,60,446,189,209,92,210,113,278,127,298,125,245,122,610,230,763,189,1066,175,801,170,660,185,400,129,244,75
8600000US30030,30030,ZCTA5 30030,11363,370,1139,206,615,176,610,144,499,141,584,187,206,85,265,109,272,114,385,145,664,148,794,173,1185,186,1047,197,878,197,887,202,1333,180
8600000US30032,30032,ZCTA5 30032,16554,477,1940,283,1579,272,1328,238,1455,259,1217,234,1289,269,861,202,940,178,801,166,1390,245,1212,214,1193,204,554,123,351,96,244,82,200,93
8600000US30033,30033,ZCTA5 30033,12795,375,1380,298,591,205,467,160,637,183,397,133,528,189,470,210,561,167,510,176,875,246,1432,276,1356,241,943,212,716,185,1073,216,859,156
8600000US30034,30034,ZCTA5 30034,15176,482,1079,223,803,219,803,202,1033,248,996,245,889,253,694,190,1018,267,706,197,1679,324,1771,340,1800,373,1027,228,442,129,292,117,144,75
8600000US30035,30035,ZCTA5 30035,7194,336,749,145,580,185,426,158,383,147,472,149,316,145,580,189,352,135,299,120,891,215,824,190,696,166,399,164,77,56,131,88,19,28
8600000US30038,30038,ZCTA5 30038,14431,527,1053,327,782,306,503,188,858,284,814,271,753,306,1295,332,874,341,669,239,1140,347,1745,423,1631,271,958,296,435,168,501,166,420,216
8600000US30039,30039,ZCTA5 30039,13934,489,625,194,444,161,433,160,576,183,688,259,927,322,480,153,781,281,1012,292,1536,430,1420,265,2212,383,1284,290,632,201,607,202,277,107
8600000US30040,30040,ZCTA5 30040,18566,651,933,209,526,176,650,173,605,157,281,98,568,174,758,206,605,157,919,217,1075,181,1529,259,2863,325,2433,292,1726,257,1685,260,1410,211
8600000US30041,30041,ZCTA5 30041,18386,520,410,116,567,189,519,179,518,161,554,142,585,150,415,103,726,164,527,146,1084,214,1489,201,2006,279,2341,291,1637,246,2619,344,2389,264
8600000US30043,30043,ZCTA5 30043,26050,654,746,181,453,126,911,248,1202,262,803,218,1433,322,756,204,958,260,1372,261,2612,519,3435,502,3995,515,3072,423,1421,255,1742,321,1139,266
8600000US30044,30044,ZCTA5 30044,27263,653,1473,323,1075,323,1308,289,1604,343,1629,295,1888,365,1209,272,1667,354,1189,283,2712,414,2772,434,3665,430,2097,314,1398,276,834,205,743,191
8600000US30045,30045,ZCTA5 30045,9664,570,247,121,58,73,269,132,453,236,188,116,175,91,532,239,521,239,292,131,950,317,1072,278,1745,330,1320,365,625,221,875,328,342,166
8600000US30046,30046,ZCTA5 30046,11782,517,772,237,567,177,929,262,871,240,657,191,928,218,488,165,663,175,580,225,1178,268,1325,355,1450,306,570,162,357,158,305,115,142,95
8600000US30047,30047,ZCTA5 30047,19570,557,904,201,643,172,674,171,898,194,797,214,808,200,957,232,784,177,735,171,1580,313,1996,304,2796,323,2045,268,1371,254,1462,247,1120,218
8600000US30052,30052,ZCTA5 30052,18812,558,917,236,407,137,677,202,757,235,565,181,719,207,952,289,1014,244,1065,312,1619,333,2450,402,2937,341,1946,325,1310,299,998,268,479,191
8600000US30054,30054,ZCTA5 30054,4045,250,238,96,162,78,187,76,220,136,191,122,158,72,215,96,177,82,119,67,320,122,596,154,492,145,448,160,259,123,140,91,123,78
8600000US30055,30055,ZCTA5 30055,907,134,52,45,28,25,54,43,54,52,28,22,56,32,49,27,42,31,41,30,29,24,136,65,203,81,56,33,32,36,17,21,30,29
8600000US30056,30056,ZCTA5 30056,842,122,60,33,43,33,32,22,62,45,73,38,43,24,26,22,7,8,79,49,46,37,150,83,63,30,54,31,47,42,46,45,11,17
8600000US30058,30058,ZCTA5 30058,18548,525,1532,306,835,198,1004,251,962,214,768,216,1249,270,1703,320,907,249,1129,289,1811,410,1856,316,2583,379,1024,221,606,233,446,153,133,82
8600000US30060,30060,ZCTA5 30060,11721,505,975,218,922,230,731,201,942,232,1134,253,834,217,916,236,740,169,556,170,736,195,1029,243,814,191,755,211,366,116,190,89,81,46
8600000US30062,30062,ZCTA5 30062,23126,330,870,228,450,154,634,193,577,182,981,243,758,204,766,222,713,189,677,213,1610,276,1837,257,3156,302,2670,285,2215,295,2618,247,2594,260
8600000US30064,30064,ZCTA5 30064,17051,550,856,250,547,200,454,149,438,192,487,174,499,171,607,178,634,176,562,182,1458,337,1882,341,2311,403,2213,324,1205,257,1478,237,1420,254
8600000US30066,30066,ZCTA5 30066,19778,475,633,212,438,169,530,231,578,217,731,201,793,306,700,235,594,190,676,208,1492,310,1995,323,3168,342,2324,355,1545,240,1613,288,1968,266
8600000US30067,30067,ZCTA5 30067,19739,487,1593,317,716,149,1177,253,1154,232,1136,203,954,231,1023,265,1077,225,1052,240,1729,271,1970,339,1694,292,1056,216,1153,260,919,177,1336,214
8600000US30068,30068,ZCTA5 30068,12020,300,338,140,298,124,270,123,416,125,407,133,396,141,343,99,321,110,513,146,756,205,812,178,1177,187,1292,233,1121,198,1480,200,2080,304
8600000US30070,30070,ZCTA5 30070,127,47,22,23,8,12,12,15,0,13,9,9,15,17,8,12,3,5,16,25,22,19,0,13,8,14,0,13,4,12,0,13,0,13
8600000US30071,30071,ZCTA5 30071,7005,425,417,165,337,146,471,157,632,178,553,175,487,155,544,198,447,139,191,95,481,161,583,170,590,164,556,140,198,97,337,121,181,65
8600000US30072,30072,ZCTA5 30072,355,92,19,15,2,5,34,25,9,11,25,17,44,33,5,4,10,13,12,14,37,36,49,27,31,18,50,29,19,17,7,8,2,5
8600000US30075,30075,ZCTA5 30075,20047,416,507,162,292,124,416,172,559,188,511,168,668,194,825,245,614,184,476,167,974,242,1967,352,1992,306,2389,354,1693,270,2256,326,3908,359
8600000US30076,30076,ZCTA5 30076,15990,488,680,211,452,161,628,194,621,223,684,237,799,240,589,185,719,198,736,218,1403,263,1157,242,1773,281,1640,284,1016,215,1459,254,1634,263
8600000US30078,30078,ZCTA5 30078,11127,500,531,185,294,128,402,134,385,167,518,178,644,218,547,215,493,171,521,177,904,199,1036,215,1573,262,1151,320,757,181,771,209,600,162
