GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2011 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2011 inflation-adjusted dollars)
0400000US13,13,Georgia,49736,264
8600000US30002,30002,ZCTA5 30002,56282,10500
8600000US30004,30004,ZCTA5 30004,97853,7606
8600000US30005,30005,ZCTA5 30005,113583,5627
8600000US30008,30008,ZCTA5 30008,46083,3413
8600000US30009,30009,ZCTA5 30009,74392,14573
8600000US30011,30011,ZCTA5 30011,51891,4253
8600000US30012,30012,ZCTA5 30012,46319,2054
8600000US30013,30013,ZCTA5 30013,56089,4334
8600000US30014,30014,ZCTA5 30014,49029,3091
8600000US30016,30016,ZCTA5 30016,51276,2885
8600000US30017,30017,ZCTA5 30017,84556,5091
8600000US30019,30019,ZCTA5 30019,83404,3827
8600000US30021,30021,ZCTA5 30021,31197,1887
8600000US30022,30022,ZCTA5 30022,102002,4826
8600000US30024,30024,ZCTA5 30024,102635,3972
8600000US30025,30025,ZCTA5 30025,45556,7886
8600000US30028,30028,ZCTA5 30028,67438,7216
8600000US30030,30030,ZCTA5 30030,66920,5512
8600000US30032,30032,ZCTA5 30032,35096,1974
8600000US30033,30033,ZCTA5 30033,59486,2892
8600000US30034,30034,ZCTA5 30034,50115,3372
8600000US30035,30035,ZCTA5 30035,44447,5456
8600000US30038,30038,ZCTA5 30038,47642,3632
8600000US30039,30039,ZCTA5 30039,66589,5888
8600000US30040,30040,ZCTA5 30040,82619,3410
8600000US30041,30041,ZCTA5 30041,89696,5750
8600000US30043,30043,ZCTA5 30043,69238,2449
8600000US30044,30044,ZCTA5 30044,55082,2057
8600000US30045,30045,ZCTA5 30045,71891,5013
8600000US30046,30046,ZCTA5 30046,49197,2652
8600000US30047,30047,ZCTA5 30047,69593,3503
8600000US30052,30052,ZCTA5 30052,65194,3634
8600000US30054,30054,ZCTA5 30054,61853,6524
8600000US30055,30055,ZCTA5 30055,59012,4975
8600000US30056,30056,ZCTA5 30056,47105,8714
8600000US30058,30058,ZCTA5 30058,46525,2450
8600000US30060,30060,ZCTA5 30060,37496,1901
8600000US30062,30062,ZCTA5 30062,87457,3082
8600000US30064,30064,ZCTA5 30064,78462,5311
8600000US30066,30066,ZCTA5 30066,78007,4190
8600000US30067,30067,ZCTA5 30067,50583,2796
8600000US30068,30068,ZCTA5 30068,102186,5196
8600000US30070,30070,ZCTA5 30070,20625,16181
8600000US30071,30071,ZCTA5 30071,44158,4151
8600000US30072,30072,ZCTA5 30072,45694,13617
8600000US30075,30075,ZCTA5 30075,99544,5386
8600000US30076,30076,ZCTA5 30076,71013,4501
8600000US30078,30078,ZCTA5 30078,68942,4251
8600000US30079,30079,ZCTA5 30079,27478,7066
8600000US30080,30080,ZCTA5 30080,52129,1917
8600000US30082,30082,ZCTA5 30082,63555,11242
8600000US30083,30083,ZCTA5 30083,43365,2355
8600000US30084,30084,ZCTA5 30084,54288,3923
8600000US30087,30087,ZCTA5 30087,70251,4633
