GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Population 16 years and over with earnings
HC01_MOE_VC01,Total; Margin of Error; Population 16 years and over with earnings
HC02_EST_VC01,Male; Estimate; Population 16 years and over with earnings
HC02_MOE_VC01,Male; Margin of Error; Population 16 years and over with earnings
HC03_EST_VC01,Female; Estimate; Population 16 years and over with earnings
HC03_MOE_VC01,Female; Margin of Error; Population 16 years and over with earnings
HC01_EST_VC02,Total; Estimate; Median earnings (dollars)
HC01_MOE_VC02,Total; Margin of Error; Median earnings (dollars)
HC02_EST_VC02,Male; Estimate; Median earnings (dollars)
HC02_MOE_VC02,Male; Margin of Error; Median earnings (dollars)
HC03_EST_VC02,Female; Estimate; Median earnings (dollars)
HC03_MOE_VC02,Female; Margin of Error; Median earnings (dollars)
HC01_EST_VC04,"Total; Estimate; Full-time, year-round workers with earnings"
HC01_MOE_VC04,"Total; Margin of Error; Full-time, year-round workers with earnings"
HC02_EST_VC04,"Male; Estimate; Full-time, year-round workers with earnings"
HC02_MOE_VC04,"Male; Margin of Error; Full-time, year-round workers with earnings"
HC03_EST_VC04,"Female; Estimate; Full-time, year-round workers with earnings"
HC03_MOE_VC04,"Female; Margin of Error; Full-time, year-round workers with earnings"
HC01_EST_VC05,"Total; Estimate; $1 to $9,999 or loss"
HC01_MOE_VC05,"Total; Margin of Error; $1 to $9,999 or loss"
HC02_EST_VC05,"Male; Estimate; $1 to $9,999 or loss"
HC02_MOE_VC05,"Male; Margin of Error; $1 to $9,999 or loss"
HC03_EST_VC05,"Female; Estimate; $1 to $9,999 or loss"
HC03_MOE_VC05,"Female; Margin of Error; $1 to $9,999 or loss"
HC01_EST_VC06,"Total; Estimate; $10,000 to $14,999"
HC01_MOE_VC06,"Total; Margin of Error; $10,000 to $14,999"
HC02_EST_VC06,"Male; Estimate; $10,000 to $14,999"
HC02_MOE_VC06,"Male; Margin of Error; $10,000 to $14,999"
HC03_EST_VC06,"Female; Estimate; $10,000 to $14,999"
HC03_MOE_VC06,"Female; Margin of Error; $10,000 to $14,999"
HC01_EST_VC07,"Total; Estimate; $15,000 to $24,999"
HC01_MOE_VC07,"Total; Margin of Error; $15,000 to $24,999"
HC02_EST_VC07,"Male; Estimate; $15,000 to $24,999"
HC02_MOE_VC07,"Male; Margin of Error; $15,000 to $24,999"
HC03_EST_VC07,"Female; Estimate; $15,000 to $24,999"
HC03_MOE_VC07,"Female; Margin of Error; $15,000 to $24,999"
HC01_EST_VC08,"Total; Estimate; $25,000 to $34,999"
HC01_MOE_VC08,"Total; Margin of Error; $25,000 to $34,999"
HC02_EST_VC08,"Male; Estimate; $25,000 to $34,999"
HC02_MOE_VC08,"Male; Margin of Error; $25,000 to $34,999"
HC03_EST_VC08,"Female; Estimate; $25,000 to $34,999"
HC03_MOE_VC08,"Female; Margin of Error; $25,000 to $34,999"
HC01_EST_VC09,"Total; Estimate; $35,000 to $49,999"
HC01_MOE_VC09,"Total; Margin of Error; $35,000 to $49,999"
HC02_EST_VC09,"Male; Estimate; $35,000 to $49,999"
HC02_MOE_VC09,"Male; Margin of Error; $35,000 to $49,999"
HC03_EST_VC09,"Female; Estimate; $35,000 to $49,999"
HC03_MOE_VC09,"Female; Margin of Error; $35,000 to $49,999"
HC01_EST_VC10,"Total; Estimate; $50,000 to $64,999"
HC01_MOE_VC10,"Total; Margin of Error; $50,000 to $64,999"
HC02_EST_VC10,"Male; Estimate; $50,000 to $64,999"
HC02_MOE_VC10,"Male; Margin of Error; $50,000 to $64,999"
HC03_EST_VC10,"Female; Estimate; $50,000 to $64,999"
HC03_MOE_VC10,"Female; Margin of Error; $50,000 to $64,999"
