GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28
Id,Id2,Geography,Total; Estimate; Population 16 years and over with earnings,Total; Margin of Error; Population 16 years and over with earnings,Male; Estimate; Population 16 years and over with earnings,Male; Margin of Error; Population 16 years and over with earnings,Female; Estimate; Population 16 years and over with earnings,Female; Margin of Error; Population 16 years and over with earnings,Total; Estimate; Median earnings (dollars),Total; Margin of Error; Median earnings (dollars),Male; Estimate; Median earnings (dollars),Male; Margin of Error; Median earnings (dollars),Female; Estimate; Median earnings (dollars),Female; Margin of Error; Median earnings (dollars),"Total; Estimate; Full-time, year-round workers with earnings","Total; Margin of Error; Full-time, year-round workers with earnings","Male; Estimate; Full-time, year-round workers with earnings","Male; Margin of Error; Full-time, year-round workers with earnings","Female; Estimate; Full-time, year-round workers with earnings","Female; Margin of Error; Full-time, year-round workers with earnings","Total; Estimate; $1 to $9,999 or loss","Total; Margin of Error; $1 to $9,999 or loss","Male; Estimate; $1 to $9,999 or loss","Male; Margin of Error; $1 to $9,999 or loss","Female; Estimate; $1 to $9,999 or loss","Female; Margin of Error; $1 to $9,999 or loss","Total; Estimate; $10,000 to $14,999","Total; Margin of Error; $10,000 to $14,999","Male; Estimate; $10,000 to $14,999","Male; Margin of Error; $10,000 to $14,999","Female; Estimate; $10,000 to $14,999","Female; Margin of Error; $10,000 to $14,999","Total; Estimate; $15,000 to $24,999","Total; Margin of Error; $15,000 to $24,999","Male; Estimate; $15,000 to $24,999","Male; Margin of Error; $15,000 to $24,999","Female; Estimate; $15,000 to $24,999","Female; Margin of Error; $15,000 to $24,999","Total; Estimate; $25,000 to $34,999","Total; Margin of Error; $25,000 to $34,999","Male; Estimate; $25,000 to $34,999","Male; Margin of Error; $25,000 to $34,999","Female; Estimate; $25,000 to $34,999","Female; Margin of Error; $25,000 to $34,999","Total; Estimate; $35,000 to $49,999","Total; Margin of Error; $35,000 to $49,999","Male; Estimate; $35,000 to $49,999","Male; Margin of Error; $35,000 to $49,999","Female; Estimate; $35,000 to $49,999","Female; Margin of Error; $35,000 to $49,999","Total; Estimate; $50,000 to $64,999","Total; Margin of Error; $50,000 to $64,999","Male; Estimate; $50,000 to $64,999","Male; Margin of Error; $50,000 to $64,999","Female; Estimate; $50,000 to $64,999","Female; Margin of Error; $50,000 to $64,999","Total; Estimate; $65,000 to $74,999","Total; Margin of Error; $65,000 to $74,999","Male; Estimate; $65,000 to $74,999","Male; Margin of Error; $65,000 to $74,999","Female; Estimate; $65,000 to $74,999","Female; Margin of Error; $65,000 to $74,999","Total; Estimate; $75,000 to $99,999","Total; Margin of Error; $75,000 to $99,999","Male; Estimate; $75,000 to $99,999","Male; Margin of Error; $75,000 to $99,999","Female; Estimate; $75,000 to $99,999","Female; Margin of Error; $75,000 to $99,999","Total; Estimate; $100,000 or more","Total; Margin of Error; $100,000 or more","Male; Estimate; $100,000 or more","Male; Margin of Error; $100,000 or more","Female; Estimate; $100,000 or more","Female; Margin of Error; $100,000 or more",Total; Estimate; Median earnings (dollars),Total; Margin of Error; Median earnings (dollars),Male; Estimate; Median earnings (dollars),Male; Margin of Error; Median earnings (dollars),Female; Estimate; Median earnings (dollars),Female; Margin of Error; Median earnings (dollars),Total; Estimate; Mean earnings (dollars),Total; Margin of Error; Mean earnings (dollars),Male; Estimate; Mean earnings (dollars),Male; Margin of Error; Mean earnings (dollars),Female; Estimate; Mean earnings (dollars),Female; Margin of Error; Mean earnings (dollars),Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Less than high school graduate,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Less than high school graduate,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Less than high school graduate,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Less than high school graduate,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Less than high school graduate,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Less than high school graduate,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency),Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency),Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency),Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency),Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency),Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency),Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Some college or associate's degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Some college or associate's degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Some college or associate's degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Some college or associate's degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Some college or associate's degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Some college or associate's degree,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Bachelor's degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Bachelor's degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Bachelor's degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Bachelor's degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Bachelor's degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Bachelor's degree,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Graduate or professional degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Graduate or professional degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Graduate or professional degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Graduate or professional degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Graduate or professional degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Graduate or professional degree,Total; Estimate; PERCENT IMPUTED - Earnings in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Earnings in the past 12 months,Male; Estimate; PERCENT IMPUTED - Earnings in the past 12 months,Male; Margin of Error; PERCENT IMPUTED - Earnings in the past 12 months,Female; Estimate; PERCENT IMPUTED - Earnings in the past 12 months,Female; Margin of Error; PERCENT IMPUTED - Earnings in the past 12 months
0400000US13,13,Georgia,4876924,12227,2551420,7158,2325504,7771,29415,154,33756,251,25130,131,3123860,10096,1751732,7020,1372128,6533,2.2,0.1,1.8,0.1,2.6,0.1,4.7,0.1,3.6,0.1,6.1,0.1,15.7,0.2,13.4,0.2,18.7,0.2,18.4,0.2,16.5,0.2,20.8,0.3,20.2,0.2,19.6,0.2,21.0,0.2,14.7,0.2,15.1,0.2,14.1,0.2,5.7,0.1,6.1,0.1,5.3,0.1,8.1,0.1,9.6,0.1,6.2,0.1,10.3,0.1,14.3,0.2,5.2,0.1,(X),(X),45301,310,36022,190,54604,253,62596,369,44402,221,33634,176,39887,257,28909,191,18359,280,21099,260,14752,233,26571,136,31234,218,21682,155,32148,131,39917,318,27569,252,50159,357,61522,681,41222,354,62960,365,80308,1027,54550,291,19.2,(X),(X),(X),(X),(X)
8600000US30002,30002,ZCTA5 30002,3273,298,1638,228,1635,165,37840,6890,39155,8281,35446,8388,2040,203,1004,150,1036,155,2.5,2.0,1.4,2.1,3.7,4.2,2.8,2.5,4.3,4.7,1.4,1.7,11.2,5.6,10.3,7.1,12.2,7.3,7.9,4.5,5.1,4.0,10.6,7.7,15.0,5.6,11.5,6.4,18.3,8.5,12.2,3.1,8.3,3.5,15.9,5.0,6.4,2.8,7.0,4.1,5.8,4.3,19.7,5.6,23.4,7.9,16.0,6.8,22.4,4.9,28.9,8.8,16.0,5.4,(X),(X),78333,14931,54023,5272,73016,7635,83974,13413,62397,7097,41028,6993,43777,16751,37054,9044,19286,15182,18393,15847,22745,27539,15307,2429,15861,1745,14250,4906,27076,7493,37545,24248,26301,4378,54464,15720,81389,14272,38194,14417,67583,13030,82188,18544,55833,15493,10.9,(X),(X),(X),(X),(X)
8600000US30004,30004,ZCTA5 30004,29020,1135,16249,791,12771,750,54079,2747,75634,6382,37240,3674,19997,855,12650,681,7347,528,0.8,0.4,0.7,0.5,0.9,0.8,1.4,0.9,1.1,0.9,1.9,1.8,5.9,1.5,4.8,2.0,7.8,2.7,8.7,2.1,6.4,2.0,12.7,4.0,13.7,2.5,9.3,2.9,21.3,4.0,12.2,2.3,10.0,2.4,16.1,4.0,8.1,1.9,7.0,2.2,10.0,3.1,14.7,2.5,14.8,2.7,14.7,4.0,34.4,2.9,45.9,3.7,14.6,3.6,(X),(X),92407,5875,53499,3974,104001,6366,127791,9582,63039,4294,60607,4659,85213,7334,41199,3460,22228,6126,25982,9707,21429,7545,26464,2751,26716,10731,26412,1163,38932,6319,52585,8827,34466,4258,73429,4021,105261,5694,44422,8687,90642,7082,114216,30490,69955,8235,16.3,(X),(X),(X),(X),(X)
8600000US30005,30005,ZCTA5 30005,19518,973,11043,672,8475,595,54582,5807,75010,11440,39247,4775,14092,885,9039,594,5053,567,0.7,0.5,0.4,0.4,1.4,1.2,2.3,1.2,2.4,1.4,2.1,1.7,7.1,2.2,7.7,2.8,6.2,3.0,6.8,1.8,4.6,1.9,10.6,3.3,14.4,3.1,10.7,3.1,21.1,5.2,16.0,2.6,13.9,3.5,19.7,4.3,5.2,1.7,3.3,1.2,8.6,4.1,14.1,2.4,15.0,3.0,12.6,3.4,33.2,3.2,42.0,4.2,17.6,4.2,(X),(X),86124,6754,55625,7791,91121,4404,103344,6638,69254,4621,63003,2042,85513,6024,43439,5168,16217,4921,16583,8616,8854,46545,34213,12786,42182,3761,23996,4214,36277,5843,61685,14288,26483,5330,68652,10993,87218,8957,50445,7553,95231,8461,109173,7933,63912,3148,17.5,(X),(X),(X),(X),(X)
8600000US30008,30008,ZCTA5 30008,16276,901,9058,791,7218,418,22845,2978,23624,4572,22398,2521,8752,586,4545,474,4207,434,3.4,1.6,3.0,1.9,3.8,2.3,4.4,1.6,4.5,2.4,4.3,2.0,19.1,3.8,16.1,4.4,22.3,5.7,16.8,3.7,17.0,5.3,16.5,4.9,21.8,3.7,20.6,5.2,23.2,4.4,14.7,2.6,18.0,4.7,11.2,3.6,5.9,1.8,5.3,2.4,6.6,2.5,7.1,1.9,5.9,2.1,8.4,3.0,6.8,2.2,9.7,3.1,3.6,2.6,(X),(X),40567,4051,36129,2203,49182,4610,54856,8680,43052,3591,26199,1516,27344,1781,24177,3385,14698,3501,16367,4563,11435,3281,17927,2091,18119,4730,17789,3715,27453,2547,31555,7208,25282,3080,49803,5595,54250,2856,40483,6998,53750,11028,64073,28981,50943,6369,23.2,(X),(X),(X),(X),(X)
8600000US30009,30009,ZCTA5 30009,7018,714,3792,459,3226,382,49375,7454,65344,11089,37443,6062,5192,638,3100,417,2092,345,1.4,1.4,1.4,1.9,1.5,1.7,4.7,4.5,4.3,6.4,5.4,6.8,8.6,3.9,10.3,6.5,6.1,3.9,11.1,4.4,10.1,6.6,12.5,5.4,12.4,3.6,4.3,3.0,24.4,8.6,16.8,3.8,12.9,5.0,22.5,8.1,6.9,3.4,7.2,3.9,6.4,4.8,15.7,3.8,17.0,5.9,13.7,5.6,22.5,4.9,32.6,7.3,7.5,4.1,(X),(X),74375,14826,50071,4686,77618,8520,91431,13425,57148,6494,54954,4688,72485,11080,40979,3624,14455,6147,14389,5614,30515,51199,23689,4882,24007,6086,21544,12463,48516,11927,69063,41102,38806,7409,65927,11459,93925,14846,41695,10059,66783,8714,83063,16979,56875,10012,20.2,(X),(X),(X),(X),(X)
8600000US30011,30011,ZCTA5 30011,7836,620,4156,374,3680,416,31164,3212,34039,3537,27849,3717,4939,501,2810,321,2129,395,2.2,1.7,2.0,1.9,2.5,2.8,2.5,1.5,0.6,0.9,5.0,2.9,12.0,3.2,11.0,4.1,13.4,5.0,20.4,3.9,19.0,5.4,22.4,6.0,26.6,4.9,27.1,5.9,26.0,8.6,14.1,3.6,14.7,4.9,13.4,5.3,7.3,2.4,8.2,3.6,6.1,3.3,10.7,3.2,12.7,4.2,8.0,4.9,4.1,2.1,4.7,2.7,3.3,3.3,(X),(X),43772,2999,40085,6897,47583,2845,50444,3876,43806,4158,35948,2757,39778,3965,32381,4109,21667,13052,16625,16761,24375,19768,26667,3661,30861,7462,25202,9238,40723,2815,44228,2678,33536,6466,51161,13051,57500,7832,42906,8126,67708,13394,83611,16966,57344,13134,14.0,(X),(X),(X),(X),(X)
8600000US30012,30012,ZCTA5 30012,13094,646,6866,435,6228,441,26003,1686,27092,2456,23832,4003,7800,653,4311,501,3489,412,3.0,1.6,3.0,2.1,3.1,2.6,7.2,2.6,7.0,3.7,7.5,3.7,16.6,3.7,16.6,4.6,16.6,4.9,20.2,4.4,19.3,5.3,21.4,5.8,21.2,4.0,20.0,4.8,22.6,6.6,15.0,3.5,13.6,4.3,16.8,6.0,5.6,1.8,7.8,2.9,2.8,1.9,4.8,1.4,5.0,2.0,4.5,2.3,6.5,2.7,7.8,4.7,4.8,2.6,(X),(X),37998,4888,35513,2664,46720,5883,50334,9485,42254,4072,30189,2103,31259,3034,27795,4681,18679,2738,21446,3496,14962,1498,26107,1696,29437,2511,19337,7867,35350,3652,41438,4033,32283,3451,41383,10964,60250,13993,29655,6990,63425,4012,82656,38838,62850,6632,18.5,(X),(X),(X),(X),(X)
8600000US30013,30013,ZCTA5 30013,13178,582,6220,426,6958,423,32592,1795,36162,4308,28680,4034,8475,539,4105,363,4370,412,2.0,1.0,0.6,0.7,3.2,1.9,5.1,2.0,6.1,3.6,4.1,1.9,13.0,2.6,10.1,4.6,15.7,4.1,19.3,3.5,16.0,5.7,22.4,4.8,24.0,3.7,23.8,5.2,24.2,4.8,15.4,3.2,15.2,3.9,15.6,4.5,6.9,1.9,9.3,3.1,4.6,2.1,8.8,2.2,10.4,3.2,7.4,2.6,5.5,1.4,8.5,2.5,2.7,1.5,(X),(X),44491,3783,37045,2832,48089,2284,52803,3479,43661,2983,35699,2380,40857,2712,32370,2553,17229,4422,23295,20130,16080,7368,32388,4586,40912,4406,25693,4829,31019,3882,33008,6876,27860,5330,43152,5973,50643,8388,40282,5867,61250,6143,68913,8539,52610,9458,18.0,(X),(X),(X),(X),(X)
