GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Population 16 years and over
HC01_MOE_VC01,Total; Margin of Error; Population 16 years and over
HC02_EST_VC01,Labor Force Participation Rate; Estimate; Population 16 years and over
HC02_MOE_VC01,Labor Force Participation Rate; Margin of Error; Population 16 years and over
HC03_EST_VC01,Employment/Population Ratio; Estimate; Population 16 years and over
HC03_MOE_VC01,Employment/Population Ratio; Margin of Error; Population 16 years and over
HC04_EST_VC01,Unemployment rate; Estimate; Population 16 years and over
HC04_MOE_VC01,Unemployment rate; Margin of Error; Population 16 years and over
HC01_EST_VC03,Total; Estimate; AGE - 16 to 19 years
HC01_MOE_VC03,Total; Margin of Error; AGE - 16 to 19 years
HC02_EST_VC03,Labor Force Participation Rate; Estimate; AGE - 16 to 19 years
HC02_MOE_VC03,Labor Force Participation Rate; Margin of Error; AGE - 16 to 19 years
HC03_EST_VC03,Employment/Population Ratio; Estimate; AGE - 16 to 19 years
HC03_MOE_VC03,Employment/Population Ratio; Margin of Error; AGE - 16 to 19 years
HC04_EST_VC03,Unemployment rate; Estimate; AGE - 16 to 19 years
HC04_MOE_VC03,Unemployment rate; Margin of Error; AGE - 16 to 19 years
HC01_EST_VC04,Total; Estimate; AGE - 20 to 24 years
HC01_MOE_VC04,Total; Margin of Error; AGE - 20 to 24 years
HC02_EST_VC04,Labor Force Participation Rate; Estimate; AGE - 20 to 24 years
HC02_MOE_VC04,Labor Force Participation Rate; Margin of Error; AGE - 20 to 24 years
HC03_EST_VC04,Employment/Population Ratio; Estimate; AGE - 20 to 24 years
HC03_MOE_VC04,Employment/Population Ratio; Margin of Error; AGE - 20 to 24 years
HC04_EST_VC04,Unemployment rate; Estimate; AGE - 20 to 24 years
HC04_MOE_VC04,Unemployment rate; Margin of Error; AGE - 20 to 24 years
HC01_EST_VC05,Total; Estimate; AGE - 25 to 29 years
HC01_MOE_VC05,Total; Margin of Error; AGE - 25 to 29 years
HC02_EST_VC05,Labor Force Participation Rate; Estimate; AGE - 25 to 29 years
HC02_MOE_VC05,Labor Force Participation Rate; Margin of Error; AGE - 25 to 29 years
HC03_EST_VC05,Employment/Population Ratio; Estimate; AGE - 25 to 29 years
HC03_MOE_VC05,Employment/Population Ratio; Margin of Error; AGE - 25 to 29 years
HC04_EST_VC05,Unemployment rate; Estimate; AGE - 25 to 29 years
HC04_MOE_VC05,Unemployment rate; Margin of Error; AGE - 25 to 29 years
HC01_EST_VC06,Total; Estimate; AGE - 30 to 34 years
HC01_MOE_VC06,Total; Margin of Error; AGE - 30 to 34 years
HC02_EST_VC06,Labor Force Participation Rate; Estimate; AGE - 30 to 34 years
HC02_MOE_VC06,Labor Force Participation Rate; Margin of Error; AGE - 30 to 34 years
HC03_EST_VC06,Employment/Population Ratio; Estimate; AGE - 30 to 34 years
HC03_MOE_VC06,Employment/Population Ratio; Margin of Error; AGE - 30 to 34 years
HC04_EST_VC06,Unemployment rate; Estimate; AGE - 30 to 34 years
HC04_MOE_VC06,Unemployment rate; Margin of Error; AGE - 30 to 34 years
HC01_EST_VC07,Total; Estimate; AGE - 35 to 44 years
HC01_MOE_VC07,Total; Margin of Error; AGE - 35 to 44 years
HC02_EST_VC07,Labor Force Participation Rate; Estimate; AGE - 35 to 44 years
HC02_MOE_VC07,Labor Force Participation Rate; Margin of Error; AGE - 35 to 44 years
HC03_EST_VC07,Employment/Population Ratio; Estimate; AGE - 35 to 44 years
