GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; One race-- - White,Total; Margin of Error; One race-- - White,Median income (dollars); Estimate; One race-- - White,Median income (dollars); Margin of Error; One race-- - White,Total; Estimate; One race-- - Black or African American,Total; Margin of Error; One race-- - Black or African American,Median income (dollars); Estimate; One race-- - Black or African American,Median income (dollars); Margin of Error; One race-- - Black or African American,Total; Estimate; One race-- - American Indian and Alaska Native,Total; Margin of Error; One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; One race-- - American Indian and Alaska Native,Total; Estimate; One race-- - Asian,Total; Margin of Error; One race-- - Asian,Median income (dollars); Estimate; One race-- - Asian,Median income (dollars); Margin of Error; One race-- - Asian,Total; Estimate; One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; One race-- - Some other race,Total; Margin of Error; One race-- - Some other race,Median income (dollars); Estimate; One race-- - Some other race,Median income (dollars); Margin of Error; One race-- - Some other race,Total; Estimate; Two or more races,Total; Margin of Error; Two or more races,Median income (dollars); Estimate; Two or more races,Median income (dollars); Margin of Error; Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children under 18 years,Total; Margin of Error; FAMILIES - Families - With own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children under 18 years,Total; Estimate; FAMILIES - Families - With no own children under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children under 18 years,Total; Estimate; FAMILIES - Married-couple families,Total; Margin of Error; FAMILIES - Married-couple families,Median income (dollars); Estimate; FAMILIES - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Married-couple families,"Total; Estimate; FAMILIES - Female householder, no husband present","Total; Margin of Error; FAMILIES - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Female householder, no husband present","Total; Estimate; FAMILIES - Male householder, no wife present","Total; Margin of Error; FAMILIES - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
0400000US13,13,Georgia,3490754,10839,49736,264,64.2,0.1,56968,326,29.5,0.1,36862,290,0.2,0.1,42434,4270,2.7,0.1,61986,1492,0.0,0.1,49787,19731,2.3,0.1,34539,969,1.0,0.1,47354,2241,5.9,0.1,37371,693,61.0,0.1,58146,367,4.7,0.1,24557,626,38.7,0.1,53504,393,38.9,0.1,58860,414,17.7,0.1,33356,314,2389321,11115,59262,360,47.5,0.3,56435,525,52.5,0.3,61399,367,71.2,0.3,73185,384,22.1,0.2,29184,367,6.6,0.1,40457,745,1101433,7199,30750,226,54.2,0.3,26395,285,47.1,0.4,24194,339,7.1,0.2,47457,1255,45.8,0.3,35870,402,36.1,0.3,32355,382,9.7,0.2,52636,1177,31.0,(X),(X),(X),31.8,(X),(X),(X),28.0,(X),(X),(X)
8600000US30002,30002,ZCTA5 30002,2428,191,56282,10500,57.7,5.2,85511,13710,36.3,4.9,20294,7241,0.0,1.6,-,**,4.7,2.9,151202,48403,0.0,1.6,-,**,0.5,0.8,-,**,0.8,0.8,105577,112376,4.6,2.7,47391,56451,55.6,5.4,86477,13288,1.6,1.3,6875,15241,42.3,5.0,50658,17942,43.1,5.6,71818,22137,13.0,2.3,42667,22620,1415,178,80804,21289,56.3,7.3,72100,31906,43.7,7.3,83385,24201,57.7,7.7,114821,20199,36.0,7.5,27788,18196,6.3,3.9,45083,9521,1013,177,32939,6086,61.7,10.1,37188,10318,50.1,9.7,29734,8802,11.5,5.7,108750,76708,38.3,10.1,28250,20067,24.6,8.9,19205,25010,13.7,7.2,31354,47290,19.4,(X),(X),(X),20.4,(X),(X),(X),18.0,(X),(X),(X)
8600000US30004,30004,ZCTA5 30004,18396,604,97853,7606,79.3,2.3,107348,8992,10.1,1.8,71806,16778,0.0,0.1,-,**,8.2,1.5,91250,4374,0.0,0.2,-,**,1.6,0.9,57375,71268,0.8,0.4,80833,69659,5.3,1.3,64602,29434,75.3,2.2,110250,8124,1.8,0.9,49167,11450,45.2,2.2,93432,6936,42.1,2.2,131786,12436,10.8,1.1,48563,9740,14098,508,117197,9242,54.4,3.2,126125,10515,45.6,3.2,105682,14179,85.2,2.6,131978,7864,10.8,2.2,51261,11792,4.1,1.3,88230,20177,4298,537,63162,5340,50.2,5.9,57094,5763,45.2,5.9,56765,5297,5.0,2.3,71098,21460,49.8,5.9,68938,7994,40.5,5.9,60996,11627,9.3,3.5,118621,28893,27.0,(X),(X),(X),27.6,(X),(X),(X),24.8,(X),(X),(X)
8600000US30005,30005,ZCTA5 30005,11803,360,113583,5627,70.4,3.0,118417,8247,10.6,1.9,60197,9031,0.0,0.3,-,**,16.6,2.3,125893,11963,0.0,0.3,-,**,2.0,1.4,16988,102124,0.4,0.5,98083,116153,5.0,1.8,62606,39907,67.3,3.1,123441,9665,1.4,1.3,21781,31795,47.3,2.5,105766,10899,45.1,2.5,125901,7410,6.2,1.2,47500,28310,9046,403,126385,5269,67.8,3.2,129512,7105,32.2,3.2,115139,15632,90.1,2.2,130905,6004,7.0,2.0,64313,23980,2.9,1.1,69000,34683,2757,446,62677,7945,48.0,7.6,55391,9139,44.6,7.2,53594,8997,3.4,2.6,93583,46366,52.0,7.6,81486,26997,41.4,8.5,69879,24929,10.6,4.5,176985,64700,29.1,(X),(X),(X),27.2,(X),(X),(X),35.2,(X),(X),(X)
8600000US30008,30008,ZCTA5 30008,9387,340,46083,3413,49.7,3.4,45702,4286,40.3,3.1,43352,9451,0.2,0.3,-,**,2.5,1.0,75625,34930,0.0,0.4,-,**,5.9,2.0,54318,19551,1.3,0.9,68423,29639,17.4,2.8,36079,4537,38.9,2.7,51488,3602,4.3,1.7,48405,15751,50.1,2.6,46746,6950,32.3,2.6,49162,6173,13.3,1.4,37232,8710,6123,359,49697,4060,51.0,4.6,39665,6860,49.0,4.6,57108,8789,60.6,3.8,64871,11661,31.0,3.6,28593,2684,8.4,2.8,46406,7682,3264,359,36311,3345,57.8,6.4,28945,6187,49.6,5.7,26326,4358,8.3,3.7,51563,10639,42.2,6.4,44808,15024,26.1,5.9,37399,8578,16.1,5.1,58826,12598,33.4,(X),(X),(X),32.8,(X),(X),(X),29.9,(X),(X),(X)
8600000US30009,30009,ZCTA5 30009,5192,304,74392,14573,83.6,4.5,81504,19204,8.5,3.3,52618,23454,0.0,0.8,-,**,4.5,1.9,98147,19865,0.6,0.7,-,**,1.6,1.7,26971,85600,1.1,1.0,90469,81959,7.8,3.7,27451,18531,77.4,5.3,92539,16357,3.7,2.2,49818,9878,41.0,4.7,97543,16422,37.0,4.0,94734,10777,18.2,3.3,32313,17888,3251,316,103596,6201,55.6,7.1,105801,10785,44.4,7.1,102827,8671,74.5,6.4,110781,11354,19.8,5.9,44766,18932,5.7,3.8,66250,65342,1941,297,46958,6971,59.0,9.9,36397,7438,56.3,9.7,34474,10161,2.8,2.4,49167,70709,41.0,9.9,59904,29515,30.2,9.4,72763,40387,10.8,6.0,49766,68222,30.1,(X),(X),(X),32.5,(X),(X),(X),26.1,(X),(X),(X)
8600000US30011,30011,ZCTA5 30011,4941,334,51891,4253,87.4,3.6,52538,6367,7.7,3.0,41961,18884,0.3,0.5,-,**,3.5,2.5,42038,19193,0.0,0.8,-,**,0.7,0.8,46250,92571,0.3,0.6,-,**,5.5,3.0,17059,41953,82.8,4.2,54579,8408,5.4,2.6,27299,19250,43.3,4.4,61473,10756,39.4,4.8,59397,14179,11.9,2.9,34727,13209,3783,281,56607,9281,50.9,5.6,52330,12337,49.1,5.6,59155,10109,78.0,5.0,71087,11004,13.7,4.4,40118,11115,8.2,3.8,42891,14762,1158,233,31919,4275,45.6,11.6,31620,11456,39.0,11.2,31935,15769,6.6,5.1,31196,40193,54.4,11.6,32133,5467,44.6,10.4,31050,5834,9.8,7.6,67758,27860,24.0,(X),(X),(X),25.4,(X),(X),(X),13.0,(X),(X),(X)
8600000US30012,30012,ZCTA5 30012,9000,423,46319,2054,53.7,2.7,47258,4352,37.9,2.4,45046,4594,0.4,0.4,42308,154323,0.6,0.5,57778,53697,0.0,0.4,-,**,5.5,1.5,55500,45433,1.8,0.9,65455,42275,12.1,1.9,41389,14524,47.8,2.7,48490,4626,3.4,1.5,38375,27083,39.3,3.0,49837,4263,38.5,2.7,53661,5770,18.8,2.0,27418,6648,6331,382,52464,4109,49.1,3.6,48539,5819,50.9,3.6,58939,7220,62.5,4.4,64848,4351,27.8,4.0,33149,6677,9.7,2.6,60434,24688,2669,377,27174,2623,60.3,6.7,25493,2941,51.2,7.2,23009,5085,9.1,4.3,48935,22648,39.7,6.7,29821,4100,33.4,5.8,26250,7442,6.3,3.3,58250,14328,27.4,(X),(X),(X),28.3,(X),(X),(X),21.6,(X),(X),(X)
8600000US30013,30013,ZCTA5 30013,8907,463,56089,4334,38.4,2.9,62002,4458,54.3,3.0,54513,4359,2.2,1.3,28295,43602,2.2,0.7,41688,37230,0.0,0.4,-,**,1.0,0.9,20938,7113,1.9,1.1,47232,31204,5.8,2.3,33276,24382,36.8,2.9,63918,7367,6.6,2.4,37375,12980,38.9,3.0,55073,6887,37.8,3.0,70705,10657,16.6,2.0,46083,8448,6632,388,62156,3858,51.2,3.8,55437,7620,48.8,3.8,70761,7777,65.0,4.6,78151,6056,28.8,4.3,38169,6077,6.2,2.1,40317,15911,2275,341,36174,4524,57.2,8.0,35571,6216,51.3,8.4,35512,12570,5.8,3.6,36250,29761,42.8,8.0,43438,16478,34.3,7.9,38929,13712,8.5,5.5,85385,84622,23.3,(X),(X),(X),25.5,(X),(X),(X),13.8,(X),(X),(X)
