GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,All families  - Total; Estimate; Families
HC01_MOE_VC01,All families  - Total; Margin of Error; Families
HC02_EST_VC01,All families  - Percent below poverty level; Estimate; Families
HC02_MOE_VC01,All families  - Percent below poverty level; Margin of Error; Families
HC03_EST_VC01,Married-couple families  - Total; Estimate; Families
HC03_MOE_VC01,Married-couple families  - Total; Margin of Error; Families
HC04_EST_VC01,Married-couple families  - Percent below poverty level; Estimate; Families
HC04_MOE_VC01,Married-couple families  - Percent below poverty level; Margin of Error; Families
HC05_EST_VC01,"Female householder, no husband present  - Total; Estimate; Families"
HC05_MOE_VC01,"Female householder, no husband present  - Total; Margin of Error; Families"
HC06_EST_VC01,"Female householder, no husband present  - Percent below poverty level; Estimate; Families"
HC06_MOE_VC01,"Female householder, no husband present  - Percent below poverty level; Margin of Error; Families"
HC01_EST_VC02,All families  - Total; Estimate; With related children under 18 years
HC01_MOE_VC02,All families  - Total; Margin of Error; With related children under 18 years
HC02_EST_VC02,All families  - Percent below poverty level; Estimate; With related children under 18 years
HC02_MOE_VC02,All families  - Percent below poverty level; Margin of Error; With related children under 18 years
HC03_EST_VC02,Married-couple families  - Total; Estimate; With related children under 18 years
HC03_MOE_VC02,Married-couple families  - Total; Margin of Error; With related children under 18 years
HC04_EST_VC02,Married-couple families  - Percent below poverty level; Estimate; With related children under 18 years
HC04_MOE_VC02,Married-couple families  - Percent below poverty level; Margin of Error; With related children under 18 years
HC05_EST_VC02,"Female householder, no husband present  - Total; Estimate; With related children under 18 years"
HC05_MOE_VC02,"Female householder, no husband present  - Total; Margin of Error; With related children under 18 years"
HC06_EST_VC02,"Female householder, no husband present  - Percent below poverty level; Estimate; With related children under 18 years"
HC06_MOE_VC02,"Female householder, no husband present  - Percent below poverty level; Margin of Error; With related children under 18 years"
HC01_EST_VC06,All families  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - One race
HC01_MOE_VC06,All families  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - One race
HC02_EST_VC06,All families  - Percent below poverty level; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - One race
