GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Population for whom poverty status is determined
HC01_MOE_VC01,Total; Margin of Error; Population for whom poverty status is determined
HC02_EST_VC01,Less than 50 percent of the poverty level; Estimate; Population for whom poverty status is determined
HC02_MOE_VC01,Less than 50 percent of the poverty level; Margin of Error; Population for whom poverty status is determined
HC03_EST_VC01,Less than 100 percent of the poverty level; Estimate; Population for whom poverty status is determined
HC03_MOE_VC01,Less than 100 percent of the poverty level; Margin of Error; Population for whom poverty status is determined
HC04_EST_VC01,Less than 125 percent of the poverty level; Estimate; Population for whom poverty status is determined
HC04_MOE_VC01,Less than 125 percent of the poverty level; Margin of Error; Population for whom poverty status is determined
HC01_EST_VC03,Total; Estimate; SEX - Male
HC01_MOE_VC03,Total; Margin of Error; SEX - Male
HC02_EST_VC03,Less than 50 percent of the poverty level; Estimate; SEX - Male
HC02_MOE_VC03,Less than 50 percent of the poverty level; Margin of Error; SEX - Male
HC03_EST_VC03,Less than 100 percent of the poverty level; Estimate; SEX - Male
HC03_MOE_VC03,Less than 100 percent of the poverty level; Margin of Error; SEX - Male
HC04_EST_VC03,Less than 125 percent of the poverty level; Estimate; SEX - Male
HC04_MOE_VC03,Less than 125 percent of the poverty level; Margin of Error; SEX - Male
HC01_EST_VC04,Total; Estimate; SEX - Female
HC01_MOE_VC04,Total; Margin of Error; SEX - Female
HC02_EST_VC04,Less than 50 percent of the poverty level; Estimate; SEX - Female
HC02_MOE_VC04,Less than 50 percent of the poverty level; Margin of Error; SEX - Female
HC03_EST_VC04,Less than 100 percent of the poverty level; Estimate; SEX - Female
HC03_MOE_VC04,Less than 100 percent of the poverty level; Margin of Error; SEX - Female
HC04_EST_VC04,Less than 125 percent of the poverty level; Estimate; SEX - Female
HC04_MOE_VC04,Less than 125 percent of the poverty level; Margin of Error; SEX - Female
HC01_EST_VC07,Total; Estimate; AGE - Under 18 years
HC01_MOE_VC07,Total; Margin of Error; AGE - Under 18 years
HC02_EST_VC07,Less than 50 percent of the poverty level; Estimate; AGE - Under 18 years
HC02_MOE_VC07,Less than 50 percent of the poverty level; Margin of Error; AGE - Under 18 years
HC03_EST_VC07,Less than 100 percent of the poverty level; Estimate; AGE - Under 18 years
HC03_MOE_VC07,Less than 100 percent of the poverty level; Margin of Error; AGE - Under 18 years
HC04_EST_VC07,Less than 125 percent of the poverty level; Estimate; AGE - Under 18 years
HC04_MOE_VC07,Less than 125 percent of the poverty level; Margin of Error; AGE - Under 18 years
HC01_EST_VC08,Total; Estimate; AGE - Related children under 18 years
HC01_MOE_VC08,Total; Margin of Error; AGE - Related children under 18 years
HC02_EST_VC08,Less than 50 percent of the poverty level; Estimate; AGE - Related children under 18 years
HC02_MOE_VC08,Less than 50 percent of the poverty level; Margin of Error; AGE - Related children under 18 years
HC03_EST_VC08,Less than 100 percent of the poverty level; Estimate; AGE - Related children under 18 years
HC03_MOE_VC08,Less than 100 percent of the poverty level; Margin of Error; AGE - Related children under 18 years
HC04_EST_VC08,Less than 125 percent of the poverty level; Estimate; AGE - Related children under 18 years
HC04_MOE_VC08,Less than 125 percent of the poverty level; Margin of Error; AGE - Related children under 18 years
HC01_EST_VC09,Total; Estimate; AGE - 18 to 64 years
HC01_MOE_VC09,Total; Margin of Error; AGE - 18 to 64 years
HC02_EST_VC09,Less than 50 percent of the poverty level; Estimate; AGE - 18 to 64 years
