beat,year,workload
305,13,13149741
111,13,17007076
301,13,12707038
108,13,11428903
412,13,13248634
112,13,10563250
404,13,10159432
611,13,8248145
206,13,17876883
110,13,9845126
103,13,13133109
203,13,10816735
407,13,15997614
402,13,11754425
411,13,12012257
607,13,11988729
609,13,12067874
508,13,13057001
410,13,13199927
210,13,16487156
401,13,16545315
204,13,10860553
309,13,10306265
212,13,13856151
308,13,10442858
505,13,15392896
605,13,14938575
105,13,12974134
207,13,16130858
503,13,15928757
501,13,16054362
603,13,17387036
310,13,12815071
504,13,12570258
209,13,9852592
403,13,10528200
304,13,17418247
109,13,8159150
114,13,11001269
106,13,9242041
610,13,9003373
311,13,10849705
510,13,17387119
312,13,13090503
414,13,11695077
213,13,11428617
104,13,14152818
107,13,10001877
601,13,11093589
409,13,15400153
302,13,16208342
102,13,9730423
306,13,15748129
506,13,6213943
307,13,14326369
313,13,11399929
408,13,8359336
606,13,11051946
604,13,15996113
303,13,19306743
113,13,12740940
413,13,9200343
202,13,8964828
502,13,15649516
406,13,10641819
512,13,12962124
511,13,8646406
608,13,7818051
612,13,10647507
405,13,9027078
211,13,15300969
602,13,13510628
509,13,17842527
201,13,10641174
208,13,14355177
205,13,10427467
507,13,8665741
708,13,7073
710,13,11213
401,14,17001069
302,14,16762531
506,14,6416087
610,14,7573981
204,14,11054428
406,14,10623284
113,14,12757987
206,14,17783288
408,14,8902378
501,14,17570038
409,14,16632907
110,14,10572510
104,14,13348669
604,14,17862705
211,14,17265369
304,14,17346971
207,14,15907081
313,14,11266389
202,14,7986012
505,14,15527921
301,14,12471031
310,14,12843191
201,14,10178930
412,14,12243236
611,14,7937190
303,14,18609321
511,14,9483724
510,14,18110323
512,14,13288695
311,14,11955340
209,14,9284756
106,14,9266007
402,14,12177688
208,14,17037631
107,14,10699356
210,14,18982057
503,14,14686821
602,14,13772311
105,14,11694177
307,14,14391005
405,14,10799184
306,14,15358301
508,14,14548412
103,14,12094847
509,14,20008965
312,14,13568672
404,14,10820381
205,14,9306832
507,14,9019237
305,14,12923446
114,14,10618351
504,14,13760701
606,14,11235503
603,14,17300638
112,14,11235862
403,14,11215116
601,14,10477574
411,14,12376915
410,14,13950848
502,14,17067312
109,14,9395329
612,14,9896715
608,14,8682995
308,14,11732615
102,14,10405504
309,14,11626026
213,14,11814016
108,14,11846885
609,14,13334036
407,14,16779777
212,14,15861189
605,14,15727825
111,14,18027825
414,14,12801740
607,14,12728523
203,14,10678365
413,14,9810097
708,14,1084
410,15,14254824
509,15,22720841
108,15,13879548
105,15,15122557
411,15,13534892
106,15,10978725
305,15,12760329
508,15,16975160
402,15,12718639
302,15,16883627
310,15,14953107
104,15,15369849
211,15,20219201
213,15,13049717
107,15,10767857
602,15,15339358
607,15,11251504
209,15,10539260
503,15,17451686
306,15,18294861
603,15,18278305
311,15,13604427
610,15,11393531
210,15,22412925
501,15,20072002
601,15,10401782
401,15,18209031
201,15,10318610
109,15,13159178
313,15,13760487
405,15,12354148
502,15,19485223
114,15,12016970
103,15,13034779
406,15,12457080
304,15,19740542
303,15,18848573
207,15,18886041
204,15,13188966
504,15,15756268
512,15,14622884
412,15,15154340
604,15,19089217
403,15,13731399
301,15,12822985
409,15,18063325
608,15,9244468
112,15,13168652
611,15,8467954
111,15,19579737
208,15,19680503
404,15,11676838
609,15,13016865
203,15,12643879
506,15,7376961
408,15,9726253
309,15,14528586
206,15,23707987
110,15,11440175
212,15,18160567
605,15,17522542
407,15,19275421
113,15,13579232
505,15,19234472
511,15,11046555
510,15,20293102
307,15,15303095
205,15,11202201
202,15,8693804
606,15,11435406
308,15,13403959
507,15,10956398
102,15,11429971
612,15,9801998
312,15,13159669
413,15,11118116
414,15,14623447
401,16,17306832
109,16,12156423
509,16,22842542
106,16,12030542
609,16,12043777
406,16,12795173
208,16,20653701
311,16,12957956
508,16,16699685
405,16,11877365
102,16,14422572
205,16,12182705
204,16,13975175
113,16,14193475
604,16,17630336
410,16,15302102
303,16,19870952
107,16,12475500
403,16,12910006
404,16,12353175
507,16,12784481
413,16,11645648
511,16,10884944
202,16,9522514
402,16,12782058
309,16,14131547
110,16,13344387
602,16,15792250
503,16,18159125
206,16,21873062
304,16,18788576
112,16,15582026
103,16,14916591
105,16,17410587
407,16,19597518
608,16,8221261
210,16,22181798
603,16,18240745
409,16,19470156
412,16,16957068
207,16,21544997
213,16,14836687
114,16,12802814
111,16,21281445
504,16,16820717
312,16,12911988
506,16,7779851
505,16,17141148
408,16,10678235
606,16,11629064
104,16,17385336
502,16,20146545
306,16,17981871
605,16,17260337
610,16,7992103
607,16,12172525
302,16,15768522
108,16,15479398
611,16,8956032
512,16,13969075
301,16,13543173
310,16,14590244
203,16,13559019
305,16,12532076
307,16,14375502
211,16,23896090
308,16,13526039
601,16,9388522
313,16,13031189
209,16,11638723
612,16,9760374
411,16,14565378
212,16,18476766
501,16,21877062
510,16,20622614
414,16,13951265
201,16,11957377
708,16,11267
110,17,5161332
406,17,4734237
604,17,6372528
