,beat,zone,workload
1,313,2,11506874.840000
2,308,2,12065418.420000
3,307,2,11886784.810000
4,306,2,14719064.390000
5,612,5,7254637.308000
6,602,5,13185195.660000
7,114,0,11630291.850000
8,405,3,10505991.500000
9,401,3,13319649.910000
10,409,3,15329835.570000
11,410,3,12783068.350000
12,411,3,12568386.870000
13,305,2,11121972.710000
14,309,2,12375627.930000
15,606,5,10440771.080000
16,607,5,10817055.660000
17,108,0,14163018.290000
18,112,0,13570577.400000
19,304,2,14439428.610000
20,102,0,13604905.330000
21,207,1,17097564.320000
22,403,3,11232953.520000
23,303,2,15329659.650000
24,605,5,13694430.680000
25,311,2,11693805.480000
26,402,3,11144264.620000
27,111,0,16760707.940000
28,609,5,10844218.970000
29,610,5,8819085.138000
30,204,1,12610733.890000
31,203,1,11955637.420000
32,211,1,18369242.610000
33,206,1,17123168.480000
34,101,0,13604905.330000
35,209,1,10753301.600000
36,210,1,17545927.250000
37,408,3,10137128.070000
38,502,4,15604015.690000
39,501,4,17232717.590000
40,503,4,13940701.120000
41,506,4,7250934.855000
42,508,4,14788652.410000
43,504,4,14385754.810000
44,103,0,12779467.420000
45,106,0,11024617.190000
46,110,0,11727024.830000
47,301,2,10860624.400000
48,312,2,11487637.130000
49,404,3,11063256.240000
50,105,0,15888132.360000
51,104,0,15222465.590000
52,113,0,12774033.830000
53,107,0,11788543.470000
54,109,0,11415572.400000
55,201,1,10969697.250000
56,208,1,16620744.970000
57,213,1,12331412.980000
58,212,1,13686123.570000
59,302,2,13073182.160000
60,507,4,12295387.720000
61,608,5,8265883.377000
62,505,4,12703335.000000
63,509,4,16260250.680000
64,603,5,13908651.440000
65,604,5,13795793.560000
66,601,5,8852596.579000
67,511,4,9705859.117000
68,202,1,9380665.915000
69,205,1,11283955.930000
70,510,4,15036678.140000
71,512,4,11712580.490000
72,310,2,12244118.140000
73,413,3,8657629.535000
74,414,3,11681821.470000
75,611,5,9657179.433000
76,407,3,15530242.280000
77,412,3,12028899.810000
78,406,3,11507221.560000
